names,numbers
Swords to Plowshares,0.0007407407407407407
Entrancing Melody,0.00037037037037037035
Damnation,0.00037037037037037035
Bitterblossom,0.0007407407407407407
Liliana of the Veil,0.0007407407407407407
Skyclave Apparition,0.0011111111111111111
Sword of Feast and Famine,0.0022222222222222222
Umezawa's Jitte,0.00037037037037037035
Court of Cunning,0.0007407407407407407
Revoke Existence,0.00037037037037037035
Dovin's Veto,0.00037037037037037035
Rough // Tumble,0.0007407407407407407
Holy Light,0.00037037037037037035
"Toski, Bearer of Secrets",0.00037037037037037035
Unexpectedly Absent,0.00037037037037037035
Ravenous Trap,0.00037037037037037035
"Chandra, Awakened Inferno",0.00037037037037037035
Fall from Favor,0.00037037037037037035
Tarmogoyf,0.0007407407407407407
Legion's End,0.00037037037037037035
Vindicate,0.00037037037037037035
"Kaheera, the Orphanguard",0.00037037037037037035
